domain,aspect,clean_sentence,predicted_sentiment,confidence,method
Canon PowerShot SD500,flash,unlike many compact ps cameras camera af assist lamp essential focusing dark areas,positive,0.395,bert-based
Canon PowerShot SD500,settings,colors casiocameras z750 z50arent far good sd500 pictures looks artificial processed,positive,0.785,bert-based
Canon PowerShot SD500,focus,colors casiocameras z750 z50arent far good sd500 pictures looks artificial processed,positive,0.756,bert-based
Canon PowerShot SD500,camera,colors casiocameras z750 z50arent far good sd500 pictures looks artificial processed,positive,0.893,bert-based
Canon PowerShot SD500,color,colors casiocameras z750 z50arent far good sd500 pictures looks artificial processed,positive,0.922,bert-based
Canon PowerShot SD500,picture,colors casiocameras z750 z50arent far good sd500 pictures looks artificial processed,positive,0.822,bert-based
Canon PowerShot SD500,manual,use get ready comes,positive,0.464,bert-based
Canon PowerShot SD500,multiple picture,limit lag time turn flash flash needed turn display,neutral,0.449,bert-based
Canon PowerShot SD500,powerup,limit lag time turn flash flash needed turn display,neutral,0.456,bert-based
Canon PowerShot SD500,multiple pictures,limit lag time turn flash flash needed turn display,neutral,0.45,bert-based
Canon PowerShot SD500,size,limit lag time turn flash flash needed turn display,neutral,0.423,bert-based
Canon PowerShot SD500,camera,highly recommend camera shoot continuous 640x480 60 fps video 1gig sd card fills,positive,0.97,bert-based
Canon PowerShot SD500,camera,finally canon setting snow white balance,neutral,0.585,bert-based
Canon PowerShot SD500,compact,finally canon setting snow white balance,neutral,0.724,bert-based
Canon PowerShot SD500,camera,finally canon setting snow white balance,neutral,0.585,bert-based
Canon PowerShot SD500,responce,flash works well compact red eye minor problem,neutral,0.392,bert-based
Canon PowerShot SD500,pics,camera powers ready second,neutral,0.48,bert-based
Canon PowerShot SD500,video,learned use diferent features much easier old one use view pics,positive,0.502,bert-based
Canon PowerShot SD500,fits,60fps setting seems like regular video recorder,neutral,0.696,bert-based
Canon PowerShot SD500,controls,huh missed lots photos lots lots came back blurry,negative,0.789,bert-based
Canon PowerShot SD500,screen,huh missed lots photos lots lots came back blurry,negative,0.851,bert-based
Computer,inexpensive,purchased monitor budgetary concerns,negative,0.371,bert-based
Computer,screen,purchased monitor budgetary concerns,negative,0.746,bert-based
Computer,screen,purchased monitor budgetary concerns,negative,0.746,bert-based
Computer,picture quality,purchased monitor budgetary concerns,negative,0.651,bert-based
Computer,screen,purchased monitor budgetary concerns,negative,0.746,bert-based
Computer,picture quality,purchased monitor budgetary concerns,negative,0.651,bert-based
Computer,screen,purchased monitor budgetary concerns,negative,0.746,bert-based
Computer,screen,purchased monitor budgetary concerns,negative,0.746,bert-based
Computer,screen,purchased monitor budgetary concerns,negative,0.746,bert-based
Computer,screen,two thumbs,positive,0.85,bert-based
Computer,colors,two thumbs,positive,0.79,bert-based
Computer,size,dell latitude netbook return,neutral,0.437,bert-based
Computer,computer,dell latitude netbook return,neutral,0.398,bert-based
Computer,quality,dell latitude netbook return,neutral,0.436,bert-based
Computer,keyboard,bigger dell hp mini,neutral,0.388,bert-based
Computer,color,bigger dell hp mini,positive,0.398,bert-based
Computer,performance,bigger dell hp mini,neutral,0.407,bert-based
Computer,memory,bigger dell hp mini,neutral,0.409,bert-based
Computer,laptop,use netbook computing exception tax programming backup,neutral,0.613,bert-based
Computer,form,use netbook computing exception tax programming backup,neutral,0.566,bert-based
Computer,windows 7 premium,use several programs little difficulty,neutral,0.475,bert-based
Computer,slower,write reports check social network pictures check email read reviews shop time,neutral,0.44,bert-based
Computer,screen quality,write reports check social network pictures check email read reviews shop time,neutral,0.4,bert-based
Computer,hard drive,write reports check social network pictures check email read reviews shop time,negative,0.371,bert-based
Computer,screen,write reports check social network pictures check email read reviews shop time,neutral,0.475,bert-based
Computer,machine,turned much better purchase expected light,positive,0.688,bert-based
Computer,lightweight,sure laptop could fooled,positive,0.541,bert-based
Computer,lightweight,people device failures simply push gear limits fails turn around cry foul manufacturer,negative,0.91,bert-based
Computer,device,people device failures simply push gear limits fails turn around cry foul manufacturer,negative,0.937,bert-based
Computer,netbook,55 stars,positive,0.485,bert-based
Computer,screen,nt get negative reviews many others product,neutral,0.563,bert-based
Computer,picture,nt know kind video card connection others using using ati 9800 pro monitor hooked dvi digital output instead standard vga analog,negative,0.486,bert-based
Computer,speakers,discounting anyone else opinion product means maybe came bad batch something others hear positive review someone happy purchase,positive,0.9,bert-based
Computer,screen,discounting anyone else opinion product means maybe came bad batch something others hear positive review someone happy purchase,positive,0.476,bert-based
Computer,netbook,discounting anyone else opinion product means maybe came bad batch something others hear positive review someone happy purchase,neutral,0.473,bert-based
Computer,lighter,buy something would consider buy,positive,0.783,bert-based
Computer,functionality,buy something would consider buy,positive,0.667,bert-based
Computer,price,buy something would consider buy,positive,0.722,bert-based
Computer,color,buy something would consider buy,neutral,0.539,bert-based
Computer,contrast,buy something would consider buy,positive,0.79,bert-based
Computer,product,buy something would consider buy,positive,0.609,bert-based
Computer,clicker,buy something would consider buy,positive,0.547,bert-based
Computer,mouse pad,buy something would consider buy,positive,0.456,bert-based
Computer,screen,compact easy travel,positive,0.584,bert-based
Computer,camera,compact easy travel,positive,0.635,bert-based
Computer,small,satisfied,positive,0.923,bert-based
Computer,computer,satisfied,positive,0.709,bert-based
Computer,performance,satisfied,positive,0.971,bert-based
Computer,computer,debating getting item would nt hesitate longer,positive,0.464,bert-based
Computer,run,debating getting item would nt hesitate longer,positive,0.46,bert-based
Computer,keyboard,debating getting item would nt hesitate longer,positive,0.512,bert-based
Computer,computer,debating getting item would nt hesitate longer,positive,0.464,bert-based
Computer,netbook,debating getting item would nt hesitate longer,positive,0.41,bert-based
Computer,download,pros capabilities size price keyboard size windows premium look cons aware finish smudge gets finger printy polished looks incredible screen size lrb netbook duh rrb,neutral,0.491,bert-based
Computer,run,pros capabilities size price keyboard size windows premium look cons aware finish smudge gets finger printy polished looks incredible screen size lrb netbook duh rrb,neutral,0.45,bert-based
Computer,products,business amazon pleasant,positive,0.81,bert-based
Computer,price,business amazon pleasant,positive,0.814,bert-based
Computer,acer monitor,business amazon pleasant,positive,0.913,bert-based
Computer,hook up,received item within days ordering,neutral,0.492,bert-based
Computer,picture,received item within days ordering,positive,0.503,bert-based
Computer,screen,received item within days ordering,positive,0.534,bert-based
Computer,disign,last week visited jareer bookstoor riyadh lrb saudi arabia rrb found lcd,neutral,0.503,bert-based
Computer,price,last week visited jareer bookstoor riyadh lrb saudi arabia rrb found lcd,neutral,0.408,bert-based
Computer,direct elictrical connectivity,provide comments disadvantages advantages may get product specs,negative,0.578,bert-based
Computer,connect,provide comments disadvantages advantages may get product specs,negative,0.638,bert-based
Computer,quality of picture,provide comments disadvantages advantages may get product specs,negative,0.639,bert-based
Computer,dvi connection,provide comments disadvantages advantages may get product specs,negative,0.492,bert-based
Computer,vga connection,provide comments disadvantages advantages may get product specs,negative,0.453,bert-based
Computer,lcd monitor,may ask gave 45 mentioned disadvantages,negative,0.767,bert-based
Computer,remote control,tv tuner composite inputs dvi input scart input nice speekers,positive,0.65,bert-based
Computer,screen quality,tv tuner composite inputs dvi input scart input nice speekers,positive,0.721,bert-based
Computer,side view,tv tuner composite inputs dvi input scart input nice speekers,positive,0.613,bert-based
Computer,price,conclusion master piece every thing need,positive,0.883,bert-based
Computer,pricess,conclusion master piece every thing need,positive,0.941,bert-based
Computer,vga connection,almost new video cards dvi connection,neutral,0.451,bert-based
Computer,color,though monitor 23 reviews good always good luck acer products,positive,0.822,bert-based
Computer,brightness,though monitor 23 reviews good always good luck acer products,positive,0.966,bert-based
Computer,pixel quality,though monitor 23 reviews good always good luck acer products,positive,0.881,bert-based
Computer,screen,fact 24 viewsonic moved second monitor position acer primary,positive,0.373,bert-based
Computer,resolution,fact 24 viewsonic moved second monitor position acer primary,neutral,0.384,bert-based
Computer,screen,fact 24 viewsonic moved second monitor position acer primary,positive,0.373,bert-based
Computer,price,fact 24 viewsonic moved second monitor position acer primary,negative,0.388,bert-based
Computer,screen,fact 24 viewsonic moved second monitor position acer primary,positive,0.373,bert-based
Computer,widescreen,home office sometimes watch movies,neutral,0.491,bert-based
Computer,colors,home office sometimes watch movies,neutral,0.409,bert-based
Computer,backlight,mistake,negative,0.716,bert-based
Computer,acer tech support,mistake,neutral,0.572,bert-based
Computer,acer,course nt tell nothing,neutral,0.685,bert-based
Computer,screen,course nt tell nothing,neutral,0.503,bert-based
Computer,backlight,course nt tell nothing,neutral,0.501,bert-based
Computer,product,regular online shopper never bad experience life bring question,positive,0.788,bert-based
Computer,portability,regular online shopper never bad experience life bring question,positive,0.736,bert-based
Computer,battery,regular online shopper never bad experience life bring question,positive,0.579,bert-based
Computer,performance,regular online shopper never bad experience life bring question,positive,0.896,bert-based
Computer,system,regular online shopper never bad experience life bring question,positive,0.827,bert-based
Computer,battery,regular online shopper never bad experience life bring question,positive,0.579,bert-based
Computer,technical support,nt think acer brand ready usa,negative,0.676,bert-based
Computer,netbook,got product yesterday,neutral,0.501,bert-based
Computer,light,got product yesterday,positive,0.494,bert-based
Computer,screen brightness,got product yesterday,positive,0.472,bert-based
Computer,sound,got product yesterday,positive,0.501,bert-based
Computer,size,got product yesterday,positive,0.537,bert-based
Computer,cheap,got product yesterday,neutral,0.471,bert-based
Computer,netbook,got product yesterday,neutral,0.501,bert-based
Computer,delivering,nt know people buy expensive gadgets like ipad2 3g satisfied think made good decision,positive,0.924,bert-based
Computer,office starter web cam,day apple replaced computer 18 months old due hassle occured past three months,negative,0.667,bert-based
Computer,size,day apple replaced computer 18 months old due hassle occured past three months,negative,0.522,bert-based
Computer,screen,would imagine cost go upto 200 bucks one day unbeatable deal,positive,0.474,bert-based
Computer,price,would imagine cost go upto 200 bucks one day unbeatable deal,positive,0.51,bert-based
Computer,cable hook ups,would imagine cost go upto 200 bucks one day unbeatable deal,positive,0.465,bert-based
Computer,screen,would like know dvi cable used,negative,0.495,bert-based
Computer,color display,would like know dvi cable used,negative,0.47,bert-based
Computer,picture,would like know dvi cable used,negative,0.569,bert-based
Computer,size,would like know dvi cable used,negative,0.442,bert-based
Computer,fits,would like know dvi cable used,negative,0.452,bert-based
Computer,images,bought monitor addition existing desktop monitor,neutral,0.454,bert-based
Computer,text,bought monitor addition existing desktop monitor,positive,0.416,bert-based
Computer,fonts,bought monitor addition existing desktop monitor,positive,0.398,bert-based
Computer,price,bought monitor addition existing desktop monitor,positive,0.829,bert-based
Computer,screen,bought monitor addition existing desktop monitor,neutral,0.507,bert-based
Computer,set up,bought monitor addition existing desktop monitor,neutral,0.537,bert-based
Computer,pixels,bought monitor addition existing desktop monitor,neutral,0.46,bert-based
Computer,price,bought monitor addition existing desktop monitor,positive,0.829,bert-based
Computer,lcd monitor,bought monitor addition existing desktop monitor,neutral,0.512,bert-based
Computer,items,second acer lcd monitor,neutral,0.368,bert-based
Computer,product,everything appears larger life,positive,0.828,bert-based
Computer,unbox,everything appears larger life,positive,0.812,bert-based
Computer,install,everything appears larger life,positive,0.85,bert-based
Computer,acer widescreen,everything appears larger life,positive,0.65,bert-based
Computer,ultra slim monitor,everything appears larger life,neutral,0.372,bert-based
Computer,video cable,well people use dell 20 lcd,positive,0.526,bert-based
Computer,fit into the socket,well people use dell 20 lcd,positive,0.569,bert-based
Computer,screen,get cables nick bits plastic casing end cable lrb cables ship box monitors rrb,negative,0.586,bert-based
Computer,price,get cables nick bits plastic casing end cable lrb cables ship box monitors rrb,negative,0.542,bert-based
Computer,monitors,get cables nick bits plastic casing end cable lrb cables ship box monitors rrb,negative,0.548,bert-based
Computer,screen,happy dell,positive,0.775,bert-based
Computer,bright,sure options serves needs totally,positive,0.815,bert-based
Computer,bright,sure options serves needs totally,positive,0.815,bert-based
Computer,quality,retired computer geek,neutral,0.496,bert-based
Computer,widescreen monitors,would definately recommend,positive,0.899,bert-based
Computer,faster,certainly,positive,0.796,bert-based
Computer,battery,certainly,positive,0.68,bert-based
Computer,price,amazon delivery efficient time always,positive,0.534,bert-based
Computer,netbook,amazon delivery efficient time always,positive,0.564,bert-based
Computer,customer service,amazon delivery efficient time always,positive,0.518,bert-based
Computer,screen,shunted 4 different techs language problems knowledge told question brand new printer answered paying 38 per call,negative,0.604,bert-based
Computer,price,shunted 4 different techs language problems knowledge told question brand new printer answered paying 38 per call,negative,0.508,bert-based
Computer,picture,shunted 4 different techs language problems knowledge told question brand new printer answered paying 38 per call,negative,0.641,bert-based
Computer,fits,shunted 4 different techs language problems knowledge told question brand new printer answered paying 38 per call,negative,0.61,bert-based
Computer,distort,shunted 4 different techs language problems knowledge told question brand new printer answered paying 38 per call,negative,0.707,bert-based
Computer,video,shunted 4 different techs language problems knowledge told question brand new printer answered paying 38 per call,negative,0.681,bert-based
Computer,camera,shunted 4 different techs language problems knowledge told question brand new printer answered paying 38 per call,negative,0.594,bert-based
Computer,acer products,shunted 4 different techs language problems knowledge told question brand new printer answered paying 38 per call,negative,0.398,bert-based
Computer,screen,shunted 4 different techs language problems knowledge told question brand new printer answered paying 38 per call,negative,0.604,bert-based
Computer,size,shunted 4 different techs language problems knowledge told question brand new printer answered paying 38 per call,negative,0.599,bert-based
Computer,looking,shunted 4 different techs language problems knowledge told question brand new printer answered paying 38 per call,negative,0.625,bert-based
Computer,3d,shunted 4 different techs language problems knowledge told question brand new printer answered paying 38 per call,negative,0.45,bert-based
Computer,screen,ok big issue anyway 2 dots dont make huge diferences annoying,negative,0.766,bert-based
Computer,acer,searching internet hours trying countless options downloaded firefox get internet operational,neutral,0.433,bert-based
Computer,compact,would rather hire local tech support company pay 100 fix brand new software issue 375 computer besides seems working fine,neutral,0.404,bert-based
Computer,acer netbook aspire one,would rather hire local tech support company pay 100 fix brand new software issue 375 computer besides seems working fine,positive,0.381,bert-based
Computer,computer,would rather hire local tech support company pay 100 fix brand new software issue 375 computer besides seems working fine,positive,0.399,bert-based
Computer,pretty,would rather hire local tech support company pay 100 fix brand new software issue 375 computer besides seems working fine,positive,0.512,bert-based
Computer,quality,would rather hire local tech support company pay 100 fix brand new software issue 375 computer besides seems working fine,neutral,0.479,bert-based
Computer,quiet,would rather hire local tech support company pay 100 fix brand new software issue 375 computer besides seems working fine,positive,0.4,bert-based
Computer,heated,would rather hire local tech support company pay 100 fix brand new software issue 375 computer besides seems working fine,positive,0.4,bert-based
Computer,keyboard,would rather hire local tech support company pay 100 fix brand new software issue 375 computer besides seems working fine,positive,0.387,bert-based
Computer,laid out,would rather hire local tech support company pay 100 fix brand new software issue 375 computer besides seems working fine,negative,0.402,bert-based
Computer,screen functions,would rather hire local tech support company pay 100 fix brand new software issue 375 computer besides seems working fine,positive,0.768,bert-based
Computer,laptop,would rather hire local tech support company pay 100 fix brand new software issue 375 computer besides seems working fine,positive,0.524,bert-based
Computer,expensive,would rather hire local tech support company pay 100 fix brand new software issue 375 computer besides seems working fine,negative,0.357,bert-based
Computer,design,would rather hire local tech support company pay 100 fix brand new software issue 375 computer besides seems working fine,negative,0.385,bert-based
Computer,color,would rather hire local tech support company pay 100 fix brand new software issue 375 computer besides seems working fine,positive,0.383,bert-based
Computer,size,would rather hire local tech support company pay 100 fix brand new software issue 375 computer besides seems working fine,positive,0.501,bert-based
Computer,images,wonderful,positive,0.917,bert-based
Computer,delivery,issues,negative,0.74,bert-based
Computer,screen,issues,negative,0.739,bert-based
Computer,set up,issues,negative,0.787,bert-based
Computer,increased memory option,issues,negative,0.646,bert-based
Computer,size,issues,negative,0.696,bert-based
Computer,screen,issues,negative,0.739,bert-based
Computer,speakers,issues,negative,0.823,bert-based
Computer,camera,issues,negative,0.749,bert-based
Computer,small,issues,negative,0.584,bert-based
Computer,delivery,issues,negative,0.74,bert-based
Computer,price,issues,negative,0.726,bert-based
Computer,led monitor,result always looking better monitor,positive,0.966,bert-based
Computer,camera,bought mine months ago week noticed eyes felt better night,positive,0.833,bert-based
Computer,worked,unit replaced broken display server limited space,neutral,0.564,bert-based
Computer,cheap,great buy,positive,0.951,bert-based
Computer,screen,great buy,positive,0.899,bert-based
Computer,colors,great buy,positive,0.858,bert-based
Computer,colors,great buy,positive,0.858,bert-based
Computer,screen,monitor 23 inch acer,neutral,0.502,bert-based
Computer,size,everything brighter better defined,positive,0.956,bert-based
Computer,battery,everything brighter better defined,positive,0.861,bert-based
Computer,keyboard,everything brighter better defined,positive,0.902,bert-based
Computer,screen,everything brighter better defined,positive,0.961,bert-based
Computer,heat up,everything brighter better defined,positive,0.906,bert-based
Computer,hdmi output,everything brighter better defined,positive,0.913,bert-based
Computer,local hd decoding,everything brighter better defined,positive,0.916,bert-based
Computer,audio volume,everything brighter better defined,positive,0.915,bert-based
Computer,switches,everything brighter better defined,positive,0.901,bert-based
Computer,screen,bought replace 89 2011 holiday special 215 acer best buy,positive,0.469,bert-based
Computer,colors,bought replace 89 2011 holiday special 215 acer best buy,positive,0.484,bert-based
Computer,viewing angle,bought replace 89 2011 holiday special 215 acer best buy,positive,0.583,bert-based
Computer,quality,bought replace 89 2011 holiday special 215 acer best buy,positive,0.547,bert-based
Computer,stand,bought replace 89 2011 holiday special 215 acer best buy,neutral,0.456,bert-based
Computer,screen,bought replace 89 2011 holiday special 215 acer best buy,positive,0.469,bert-based
Computer,height adjustability,bought replace 89 2011 holiday special 215 acer best buy,positive,0.582,bert-based
Computer,screen,use laptop might plus use imac taller monitor going need books something level,neutral,0.511,bert-based
Computer,battery,use laptop might plus use imac taller monitor going need books something level,negative,0.433,bert-based
Computer,screen resolution,use laptop might plus use imac taller monitor going need books something level,neutral,0.523,bert-based
Computer,features,use laptop might plus use imac taller monitor going need books something level,neutral,0.498,bert-based
Computer,performance,use laptop might plus use imac taller monitor going need books something level,neutral,0.465,bert-based
Computer,convenient,use laptop might plus use imac taller monitor going need books something level,neutral,0.599,bert-based
Computer,keyboard,use laptop might plus use imac taller monitor going need books something level,neutral,0.399,bert-based
Computer,screen,expect behavior new computer,positive,0.469,bert-based
Computer,clarity,specifics purchase experience 1,neutral,0.494,bert-based
Computer,contrast,specifics purchase experience 1,neutral,0.463,bert-based
Computer,product,problems detected flaws noticed,negative,0.8,bert-based
Computer,picture,came across acer read reviews andi little skeptical price right,neutral,0.513,bert-based
Computer,colors,came across acer read reviews andi little skeptical price right,negative,0.533,bert-based
Computer,size,came across acer read reviews andi little skeptical price right,neutral,0.555,bert-based
Computer,price,came across acer read reviews andi little skeptical price right,negative,0.89,bert-based
Computer,screen,ring around like reviews stated,positive,0.477,bert-based
Computer,price,ring around like reviews stated,positive,0.417,bert-based
Computer,screen,let start saying could give review 50 stars wish could,positive,0.849,bert-based
Computer,service,nt know buzzes try going dark website hardforumcom 120hz see back monitor buzzes,negative,0.517,bert-based
Computer,support,nt know buzzes try going dark website hardforumcom 120hz see back monitor buzzes,neutral,0.58,bert-based
Computer,screen,nt know buzzes try going dark website hardforumcom 120hz see back monitor buzzes,negative,0.692,bert-based
Computer,chat support,angry even read information given duplicate problem,negative,0.952,bert-based
Computer,repair technicians,angry even read information given duplicate problem,negative,0.929,bert-based
Computer,repair technicians,please treat customers respect acer,positive,0.548,bert-based
Computer,colors,impressed,positive,0.885,bert-based
Computer,resolution,impressed,positive,0.947,bert-based
Computer,price,impressed,positive,0.901,bert-based
Computer,viewing angle,impressed,positive,0.932,bert-based
Computer,screen,impressed,positive,0.899,bert-based
Computer,price,impressed,positive,0.901,bert-based
Computer,smooth,1080p movie got stutter lag,negative,0.782,bert-based
Computer,gpu hardware acceleration,audio always laggish stuttered delayed sync used potplayer like totally different world difference like black white,negative,0.824,bert-based
Computer,laptop,audio always laggish stuttered delayed sync used potplayer like totally different world difference like black white,negative,0.903,bert-based
Computer,small,audio always laggish stuttered delayed sync used potplayer like totally different world difference like black white,negative,0.86,bert-based
Computer,image quality,suggestion download potplayer,positive,0.472,bert-based
Computer,contrast,otherwise get something expensive,negative,0.433,bert-based
Computer,brightness,otherwise get something expensive,negative,0.557,bert-based
Computer,viewing angles,otherwise get something expensive,negative,0.595,bert-based
Computer,computer,please ignore posts turning sounds sounds,negative,0.562,bert-based
Computer,beeps,please ignore posts turning sounds sounds,negative,0.681,bert-based
Computer,computer,well deafening head phone connected external speakers bc noise maximum volume every time,negative,0.619,bert-based
Computer,customer service,well deafening head phone connected external speakers bc noise maximum volume every time,negative,0.486,bert-based
Computer,customer service,well deafening head phone connected external speakers bc noise maximum volume every time,negative,0.486,bert-based
Computer,shipping service,ordered monitor amazon thursday received monday,neutral,0.418,bert-based
Computer,fits,limited space enough room wide screen monitor,neutral,0.538,bert-based
Computer,screen,limited space enough room wide screen monitor,neutral,0.465,bert-based
Computer,screen,limited space enough room wide screen monitor,neutral,0.465,bert-based
Computer,instructions,using month well pleased,positive,0.963,bert-based
Computer,keyboard connector,purchased christmas gift,neutral,0.466,bert-based
Computer,machine,result,neutral,0.384,bert-based
Computer,acer,result,neutral,0.418,bert-based
Computer,acer product,informed wanted 99unit fix problem,neutral,0.541,bert-based
Computer,brightness,even sli 570 ca nt crysis though,neutral,0.567,bert-based
Computer,screen,even sli 570 ca nt crysis though,neutral,0.511,bert-based
Computer,colors,even sli 570 ca nt crysis though,neutral,0.495,bert-based
Computer,screen,change 120 hz advanced screen resolution settings windows 7,neutral,0.442,bert-based
Computer,color,change 120 hz advanced screen resolution settings windows 7,positive,0.397,bert-based
Computer,price,change 120 hz advanced screen resolution settings windows 7,neutral,0.381,bert-based
Computer,screen,change 120 hz advanced screen resolution settings windows 7,neutral,0.442,bert-based
Computer,lines,change 120 hz advanced screen resolution settings windows 7,neutral,0.368,bert-based
Computer,viewing angle,change 120 hz advanced screen resolution settings windows 7,neutral,0.412,bert-based
Computer,price,change 120 hz advanced screen resolution settings windows 7,neutral,0.381,bert-based
Computer,screen,simple request impossible fill,negative,0.619,bert-based
Computer,contrast,like hard glass surface actually windex attractive minimalist black design looks like came swedish furniture showcase,positive,0.595,bert-based
Computer,crispness,like hard glass surface actually windex attractive minimalist black design looks like came swedish furniture showcase,positive,0.57,bert-based
Computer,readability,like hard glass surface actually windex attractive minimalist black design looks like came swedish furniture showcase,positive,0.668,bert-based
Computer,viewing angles,like hard glass surface actually windex attractive minimalist black design looks like came swedish furniture showcase,positive,0.644,bert-based
Computer,displays,like hard glass surface actually windex attractive minimalist black design looks like came swedish furniture showcase,neutral,0.508,bert-based
Computer,expensive,6 months problems whatsoever,negative,0.462,bert-based
Computer,colors,nt logon computer time check weather look wall,negative,0.609,bert-based
Computer,device,fairly accurate think minor exceptions,neutral,0.56,bert-based
Computer,switch,owned one several weeks already second unit ambient replaced first one warranty first sending refurbished pager board nt fit unit plastic case,neutral,0.422,bert-based
Computer,5day forecaster,already experience lrb much rrb opening case think managed solve problem rate unit appears receiving updated forecasts new york city primary objective since bought,positive,0.552,bert-based
Computer,product,come understand radio shack apparently unloaded remaining inventory 15 pop may especially upset adoption pains shelled retail price 100 clams,negative,0.806,bert-based
Computer,colors,given screen work,neutral,0.375,bert-based
Computer,brightness,given screen work,positive,0.431,bert-based
Computer,panel,given screen work,positive,0.448,bert-based
Computer,viewing angles,given screen work,neutral,0.426,bert-based
Computer,monitors,given screen work,neutral,0.46,bert-based
Computer,price,given screen work,negative,0.415,bert-based
Computer,shipping,given screen work,neutral,0.416,bert-based
Computer,set up,given screen work,neutral,0.435,bert-based
Computer,dead pixels,given screen work,neutral,0.474,bert-based
Computer,brightness,given screen work,positive,0.431,bert-based
Computer,viewing angle,given screen work,positive,0.408,bert-based
Computer,price,given screen work,negative,0.415,bert-based
Computer,price,checked reviews several sites favorable,positive,0.785,bert-based
Computer,instructions,checked reviews several sites favorable,positive,0.904,bert-based
Computer,running,great unfortunately need paper,negative,0.67,bert-based
Computer,picture,great unfortunately need paper,negative,0.711,bert-based
Computer,video card,aoc replaced monitor almost immediately displayed problems,negative,0.767,bert-based
Computer,monitors,aoc replaced monitor almost immediately displayed problems,negative,0.631,bert-based
Computer,screen,aoc replaced monitor almost immediately displayed problems,negative,0.916,bert-based
Computer,machine,aoc replaced monitor almost immediately displayed problems,negative,0.661,bert-based
Computer,heat dissipation,aluminum frame beats old titanium design easily,positive,0.777,bert-based
Computer,screen,break foot break laptop,negative,0.831,bert-based
Computer,text rendering,break foot break laptop,negative,0.802,bert-based
Computer,machine,freaking brilliant,positive,0.942,bert-based
Computer,small,ordered immediately macworld keynote,positive,0.51,bert-based
Computer,price,ordered immediately macworld keynote,positive,0.58,bert-based
Computer,superdrive,mini living room attached syntax olevia lt30hv hdtv works great,positive,0.69,bert-based
Computer,bluetooth modules,mini living room attached syntax olevia lt30hv hdtv works great,positive,0.695,bert-based
Computer,wireless keyboard,mini living room attached syntax olevia lt30hv hdtv works great,positive,0.649,bert-based
Computer,mouse,mini living room attached syntax olevia lt30hv hdtv works great,positive,0.566,bert-based
Computer,memory,mini living room attached syntax olevia lt30hv hdtv works great,positive,0.608,bert-based
Computer,price,bundled ilife 05 alone elevates computer bargain pcs,positive,0.864,bert-based
Computer,insurance,bundled ilife 05 alone elevates computer bargain pcs,positive,0.66,bert-based
Computer,works,nt buy laptop desktop without,negative,0.553,bert-based
Computer,sound,lrb running osx lion seem current firmware display latest drivers osx lion rrb compared old 15 display like watching imax comparison,positive,0.461,bert-based
Computer,support,guided tests concluded faulty isight enormous surprise said covered extended applecare warranty imac lrb even told second hand purchase rrb promptly sent brand new replacement,positive,0.41,bert-based
Computer,product,guided tests concluded faulty isight enormous surprise said covered extended applecare warranty imac lrb even told second hand purchase rrb promptly sent brand new replacement,negative,0.643,bert-based
Computer,expensive,unknown whether need one thing realized comes apple,neutral,0.474,bert-based
Computer,products,unknown whether need one thing realized comes apple,negative,0.362,bert-based
Computer,customer service reps,using macbookpro year sluggishness hesitation,neutral,0.538,bert-based
Computer,price,several months debating whether worth money finally bought one babies,neutral,0.46,bert-based
Computer,screen,price dropped 1000 gave,negative,0.633,bert-based
Computer,incompatibility,problems whatsoever,neutral,0.473,bert-based
Speaker,speakers,wanted something play without plug power outlet would work rechargable batteries,neutral,0.458,bert-based
Speaker,speakers,reviews sound quality true,positive,0.915,bert-based
Speaker,sound,reviews sound quality true,positive,0.91,bert-based
Speaker,bass,reviews sound quality true,positive,0.713,bert-based
Speaker,speakers,although bass im getting speakers unexpected,negative,0.446,bert-based
Speaker,sound quality,although bass im getting speakers unexpected,negative,0.426,bert-based
Speaker,portable,although bass im getting speakers unexpected,negative,0.357,bert-based
Speaker,remote,although bass im getting speakers unexpected,negative,0.424,bert-based
Speaker,sound quality,allows incoming email txt messages read responded wo undocking essentially iphone apps docked,positive,0.435,bert-based
Speaker,tuner quality,allows incoming email txt messages read responded wo undocking essentially iphone apps docked,positive,0.428,bert-based
Speaker,looks,allows incoming email txt messages read responded wo undocking essentially iphone apps docked,neutral,0.427,bert-based
Speaker,setup,allows incoming email txt messages read responded wo undocking essentially iphone apps docked,neutral,0.429,bert-based
Speaker,buttons,bought amazon prime fullfiller used like new like new blemish issue 56 qualms,negative,0.752,bert-based
Speaker,sound quality,purchased phone set work thinking inexpensive replacement phones would ease pain things spilled dropped,neutral,0.449,bert-based
Speaker,sound,complaints ca nt put line 1 hold answer line 2 handset without conference call beginning,negative,0.931,bert-based
Speaker,loud,yes blonde proves phones rrb,positive,0.892,bert-based
Speaker,install,yes blonde proves phones rrb,positive,0.73,bert-based
Speaker,speakers,period,negative,0.491,bert-based
Speaker,sound,period,neutral,0.464,bert-based
Speaker,bass,listening modest volumes turned demanding tracks nt flinch,positive,0.411,bert-based
Speaker,noise,wish would would made usa rather china least company still mostly based,negative,0.904,bert-based
Speaker,worked,wish would would made usa rather china least company still mostly based,negative,0.839,bert-based
Speaker,sounded,wish would would made usa rather china least company still mostly based,negative,0.871,bert-based
Speaker,sound,ordering consider use,positive,0.409,bert-based
Speaker,sound,ordering consider use,positive,0.409,bert-based
Speaker,cord,ordered two,positive,0.36,bert-based
