aspect,negative,neutral,positive,total_mentions,positive_ratio,neutral_ratio,negative_ratio
stands,1,1,4,6,0.6666666666666666,0.16666666666666666,0.16666666666666666
start,1,1,2,4,0.5,0.25,0.25
start up,0,0,1,1,1.0,0.0,0.0
starts,1,1,0,2,0.0,0.5,0.5
starts up,0,0,1,1,1.0,0.0,0.0
steel backing,1,0,0,1,0.0,0.0,1.0
stereo reproduction,0,1,0,1,0.0,1.0,0.0
stereo separation,1,0,0,1,0.0,0.0,1.0
stinky,1,0,0,1,0.0,0.0,1.0
stitch picture,0,0,1,1,1.0,0.0,0.0
stop button,0,0,1,1,1.0,0.0,0.0
stoppage,1,0,0,1,0.0,0.0,1.0
storage capacity,1,0,0,1,0.0,0.0,1.0
storage space,0,0,1,1,1.0,0.0,0.0
store,0,1,1,2,0.5,0.5,0.0
store bags,0,0,1,1,1.0,0.0,0.0
strap,1,0,0,1,0.0,0.0,1.0
stream,0,0,1,1,1.0,0.0,0.0
sturdy,0,1,2,3,0.6666666666666666,0.3333333333333333,0.0
stylized,0,1,0,1,0.0,1.0,0.0
sub,1,0,0,1,0.0,0.0,1.0
sub woofer,1,0,1,2,0.5,0.0,0.5
subscription drmencoded,0,1,0,1,0.0,1.0,0.0
subscription wma,1,0,0,1,0.0,0.0,1.0
subwoofer,0,1,0,1,0.0,1.0,0.0
sunset feature,0,0,1,1,1.0,0.0,0.0
superdrive,0,0,1,1,1.0,0.0,0.0
support,23,7,4,34,0.11764705882352941,0.20588235294117646,0.6764705882352942
support service,1,0,0,1,0.0,0.0,1.0
surround sound,0,0,1,1,1.0,0.0,0.0
svideo,0,1,0,1,0.0,1.0,0.0
switch,0,3,3,6,0.5,0.5,0.0
switches,0,0,1,1,1.0,0.0,0.0
sygate,1,0,0,1,0.0,0.0,1.0
symantec,2,3,1,6,0.16666666666666666,0.5,0.3333333333333333
symantec customer service,0,1,0,1,0.0,1.0,0.0
symantect products,0,1,0,1,0.0,1.0,0.0
sync,0,5,1,6,0.16666666666666666,0.8333333333333334,0.0
sync to windows media player,0,0,1,1,1.0,0.0,0.0
sync with media player,0,0,1,1,1.0,0.0,0.0
syncing data,1,0,0,1,0.0,0.0,1.0
system,3,0,4,7,0.5714285714285714,0.0,0.42857142857142855
system error,1,0,0,1,0.0,0.0,1.0
systemworks,0,1,0,1,0.0,1.0,0.0
tag,0,2,0,2,0.0,1.0,0.0
tall,0,1,0,1,0.0,1.0,0.0
tech,1,2,0,3,0.0,0.6666666666666666,0.3333333333333333
tech line,1,0,0,1,0.0,0.0,1.0
tech support,2,2,3,7,0.42857142857142855,0.2857142857142857,0.2857142857142857
tech support people,0,1,0,1,0.0,1.0,0.0
technical service,1,0,0,1,0.0,0.0,1.0
technical support,1,2,2,5,0.4,0.4,0.2
text,0,0,1,1,1.0,0.0,0.0
text rendering,1,0,0,1,0.0,0.0,1.0
tft,1,0,0,1,0.0,0.0,1.0
tft screen,0,1,0,1,0.0,1.0,0.0
the unit,0,1,0,1,0.0,1.0,0.0
themes,0,1,0,1,0.0,1.0,0.0
thing,1,0,0,1,0.0,0.0,1.0
things,1,0,0,1,0.0,0.0,1.0
this,1,0,0,1,0.0,0.0,1.0
this item,1,0,0,1,0.0,0.0,1.0
this thing,1,2,0,3,0.0,0.6666666666666666,0.3333333333333333
tiff format,0,1,0,1,0.0,1.0,0.0
time,0,1,0,1,0.0,1.0,0.0
tiny,0,0,4,4,1.0,0.0,0.0
tivo,0,0,1,1,1.0,0.0,0.0
tmobile,2,7,4,13,0.3076923076923077,0.5384615384615384,0.15384615384615385
tmobile reception,1,0,0,1,0.0,0.0,1.0
tmobile service,2,0,1,3,0.3333333333333333,0.0,0.6666666666666666
tonal qualities,1,0,0,1,0.0,0.0,1.0
tone,1,0,2,3,0.6666666666666666,0.0,0.3333333333333333
tone side,0,0,1,1,1.0,0.0,0.0
tool,0,2,0,2,0.0,1.0,0.0
top,0,0,1,1,1.0,0.0,0.0
top loader,0,0,1,1,1.0,0.0,0.0
touch buttons,0,0,1,1,1.0,0.0,0.0
touch controls,0,0,1,1,1.0,0.0,0.0
touch pad,1,2,1,4,0.25,0.5,0.25
touch screen,0,1,0,1,0.0,1.0,0.0
touch sensitivity,1,0,0,1,0.0,0.0,1.0
touchpad,4,3,10,17,0.5882352941176471,0.17647058823529413,0.23529411764705882
touchpad controls,0,0,2,2,1.0,0.0,0.0
touchpad light,0,0,1,1,1.0,0.0,0.0
touchup,0,0,1,1,1.0,0.0,0.0
track record,1,0,0,1,0.0,0.0,1.0
transfer,5,9,4,18,0.2222222222222222,0.5,0.2777777777777778
transfer speed,0,1,1,2,0.5,0.5,0.0
transfter,0,1,0,1,0.0,1.0,0.0
transmission,0,1,0,1,0.0,1.0,0.0
transmission speed,0,0,1,1,1.0,0.0,0.0
transmit a signal,0,0,1,1,1.0,0.0,0.0
transporting,1,0,0,1,0.0,0.0,1.0
trash bag,0,0,1,1,1.0,0.0,0.0
trash bags,1,0,2,3,0.6666666666666666,0.0,0.3333333333333333
treble,0,0,2,2,1.0,0.0,0.0
trim,0,0,1,1,1.0,0.0,0.0
trnasfer,0,0,1,1,1.0,0.0,0.0
tune,0,1,0,1,0.0,1.0,0.0
tuner quality,0,0,1,1,1.0,0.0,0.0
txt file,0,0,1,1,1.0,0.0,0.0
typing experience,0,0,1,1,1.0,0.0,0.0
tzone,0,4,0,4,0.0,1.0,0.0
ultra slim monitor,0,1,0,1,0.0,1.0,0.0
unbox,0,0,1,1,1.0,0.0,0.0
underside,0,0,1,1,1.0,0.0,0.0
uninstall,4,0,1,5,0.2,0.0,0.8
uninstallation,0,1,0,1,0.0,1.0,0.0
unit,7,3,1,11,0.09090909090909091,0.2727272727272727,0.6363636363636364
units,1,0,0,1,0.0,0.0,1.0
universal remote control,1,0,0,1,0.0,0.0,1.0
unload,0,0,1,1,1.0,0.0,0.0
unresponsiveness,0,0,1,1,1.0,0.0,0.0
unstalling,0,1,0,1,0.0,1.0,0.0
update,0,3,0,3,0.0,1.0,0.0
updates,1,0,0,1,0.0,0.0,1.0
updating firmware,0,1,0,1,0.0,1.0,0.0
upgrade,3,1,1,5,0.2,0.2,0.6
upgradibility,0,0,1,1,1.0,0.0,0.0
uploading,0,1,0,1,0.0,1.0,0.0
upnp,0,1,0,1,0.0,1.0,0.0
usability,0,1,0,1,0.0,1.0,0.0
usage,0,1,0,1,0.0,1.0,0.0
usage with subscription service,0,1,0,1,0.0,1.0,0.0
usb,0,2,1,3,0.3333333333333333,0.6666666666666666,0.0
usb function,1,0,0,1,0.0,0.0,1.0
usb interface,0,1,0,1,0.0,1.0,0.0
usb network storage,0,0,1,1,1.0,0.0,0.0
usb port,3,0,1,4,0.25,0.0,0.75
usb recharge,1,0,0,1,0.0,0.0,1.0
use,14,35,23,72,0.3194444444444444,0.4861111111111111,0.19444444444444445
useable,0,1,1,2,0.5,0.5,0.0
used,0,0,2,2,1.0,0.0,0.0
user definable,0,0,1,1,1.0,0.0,0.0
user guide,0,0,1,1,1.0,0.0,0.0
user interface,2,2,2,6,0.3333333333333333,0.3333333333333333,0.3333333333333333
user manual,0,1,0,1,0.0,1.0,0.0
userinterfaces,0,0,1,1,1.0,0.0,0.0
users guide,0,1,0,1,0.0,1.0,0.0
using,1,0,0,1,0.0,0.0,1.0
valet plus,1,0,0,1,0.0,0.0,1.0
variety of colors,0,0,1,1,1.0,0.0,0.0
variety of colours,0,0,1,1,1.0,0.0,0.0
vcd,0,0,1,1,1.0,0.0,0.0
verizon,0,1,0,1,0.0,1.0,0.0
versatile,0,1,1,2,0.5,0.5,0.0
versatility,1,0,0,1,0.0,0.0,1.0
version 2004,0,2,0,2,0.0,1.0,0.0
vga connection,1,1,0,2,0.0,0.5,0.5
vibrate setting,0,0,2,2,1.0,0.0,0.0
vibration,1,1,2,4,0.5,0.25,0.25
video,4,2,4,10,0.4,0.2,0.4
video cable,0,0,1,1,1.0,0.0,0.0
video card,1,0,0,1,0.0,0.0,1.0
video format,0,0,1,1,1.0,0.0,0.0
video output,2,0,1,3,0.3333333333333333,0.0,0.6666666666666666
video quality,1,0,0,1,0.0,0.0,1.0
video recorder,1,1,0,2,0.0,0.5,0.5
video recorders,1,0,0,1,0.0,0.0,1.0
video recording,1,0,1,2,0.5,0.0,0.5
videoquality,0,0,1,1,1.0,0.0,0.0
view finder,0,0,1,1,1.0,0.0,0.0
viewfinder,5,3,5,13,0.38461538461538464,0.23076923076923078,0.38461538461538464
viewing angle,0,1,3,4,0.75,0.25,0.0
viewing angles,1,1,1,3,0.3333333333333333,0.3333333333333333,0.3333333333333333
visibility,0,2,0,2,0.0,1.0,0.0
visual backtracking,0,1,0,1,0.0,1.0,0.0
voice,0,0,1,1,1.0,0.0,0.0
voice dialing,2,0,3,5,0.6,0.0,0.4
voice quality,0,0,1,1,1.0,0.0,0.0
voice record,0,0,1,1,1.0,0.0,0.0
voice recorder,0,0,1,1,1.0,0.0,0.0
voice recorders,1,0,0,1,0.0,0.0,1.0
voice recording,1,0,1,2,0.5,0.0,0.5
voicedialing system,3,0,0,3,0.0,0.0,1.0
voip,0,0,1,1,1.0,0.0,0.0
volume adjustment,0,1,0,1,0.0,1.0,0.0
volume control,1,1,0,2,0.0,0.5,0.5
volume knob,0,0,1,1,1.0,0.0,0.0
volume level,1,0,0,1,0.0,0.0,1.0
volume levels,1,0,0,1,0.0,0.0,1.0
volume range,1,0,0,1,0.0,0.0,1.0
volumn,1,0,0,1,0.0,0.0,1.0
w,1,0,0,1,0.0,0.0,1.0
wait,0,1,1,2,0.5,0.5,0.0
wake up,0,1,2,3,0.6666666666666666,0.3333333333333333,0.0
wallpaper,0,2,0,2,0.0,1.0,0.0
warranty,1,2,3,6,0.5,0.3333333333333333,0.16666666666666666
warranty price,0,1,0,1,0.0,1.0,0.0
web browser,1,0,1,2,0.5,0.0,0.5
web site,0,0,1,1,1.0,0.0,0.0
weighs,0,0,1,1,1.0,0.0,0.0
wellpriced,0,1,0,1,0.0,1.0,0.0
wep encryption,0,0,1,1,1.0,0.0,0.0
wheel,0,0,2,2,1.0,0.0,0.0
white balance,0,1,1,2,0.5,0.5,0.0
white offset,0,0,1,1,1.0,0.0,0.0
wide,0,0,1,1,1.0,0.0,0.0
widescreen,0,1,0,1,0.0,1.0,0.0
widescreen monitors,0,0,1,1,1.0,0.0,0.0
windows 7 premium,0,1,0,1,0.0,1.0,0.0
windows compatibility,0,0,1,1,1.0,0.0,0.0
windows media,0,0,1,1,1.0,0.0,0.0
wipes,1,0,1,2,0.5,0.0,0.5
wire,0,0,1,1,1.0,0.0,0.0
wireless keyboard,0,0,1,1,1.0,0.0,0.0
wireless punch,0,0,1,1,1.0,0.0,0.0
wireless telephone,0,0,1,1,1.0,0.0,0.0
wizard,2,4,0,6,0.0,0.6666666666666666,0.3333333333333333
wma file,0,1,0,1,0.0,1.0,0.0
wma files,0,0,1,1,1.0,0.0,0.0
woofer,1,0,0,1,0.0,0.0,1.0
work,3,7,8,18,0.4444444444444444,0.3888888888888889,0.16666666666666666
work with wmp,1,0,0,1,0.0,0.0,1.0
worked,2,6,4,12,0.3333333333333333,0.5,0.16666666666666666
working,4,7,4,15,0.26666666666666666,0.4666666666666667,0.26666666666666666
workload,0,1,0,1,0.0,1.0,0.0
works,7,9,13,29,0.4482758620689655,0.3103448275862069,0.2413793103448276
wpa encryption,0,1,0,1,0.0,1.0,0.0
wrench,3,0,0,3,0.0,0.0,1.0
wrt54g,1,2,0,3,0.0,0.6666666666666666,0.3333333333333333
zen,0,3,2,5,0.4,0.6,0.0
zen micro,7,2,1,10,0.1,0.2,0.7
zen touch,0,1,0,1,0.0,1.0,0.0
zen xtra,0,2,0,2,0.0,1.0,0.0
zone alarm,1,0,0,1,0.0,0.0,1.0
zoom,2,2,4,8,0.5,0.25,0.25
zoom mode,1,0,0,1,0.0,0.0,1.0
zoom range,0,1,0,1,0.0,1.0,0.0
zoomed image,0,1,0,1,0.0,1.0,0.0
zooming lever,1,0,0,1,0.0,0.0,1.0
zooms,0,1,0,1,0.0,1.0,0.0
zx,0,1,0,1,0.0,1.0,0.0
